2020-06-25 08:03:23 status unpacked mawk:armhf 1.3.3-17+b3
2020-06-25 08:03:24 install libncursesw5:armhf <none> 6.0+20161126-1+deb9u2
2020-06-25 08:03:24 status half-installed libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:24 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:24 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:24 install libtinfo5:armhf <none> 6.0+20161126-1+deb9u2
2020-06-25 08:03:24 status half-installed libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-06-25 08:03:25 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2020-06-25 08:03:26 install ncurses-bin:armhf <none> 6.0+20161126-1+deb9u2
2020-06-25 08:03:26 status half-installed ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:26 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:26 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u2
2020-06-25 08:03:26 install libpam-modules:armhf <none> 1.1.8-3.6
2020-06-25 08:03:26 status half-installed libpam-modules:armhf 1.1.8-3.6
2020-06-25 08:03:30 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-06-25 08:03:30 status unpacked libpam-modules:armhf 1.1.8-3.6
2020-06-25 08:03:30 install libpam-modules-bin:armhf <none> 1.1.8-3.6
2020-06-25 08:03:30 status half-installed libpam-modules-bin:armhf 1.1.8-3.6
2020-06-25 08:03:30 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-06-25 08:03:30 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2020-06-25 08:03:31 install libpam-runtime:all <none> 1.1.8-3.6
2020-06-25 08:03:31 status half-installed libpam-runtime:all 1.1.8-3.6
2020-06-25 08:03:31 status unpacked libpam-runtime:all 1.1.8-3.6
2020-06-25 08:03:31 status unpacked libpam-runtime:all 1.1.8-3.6
2020-06-25 08:03:32 install libpam0g:armhf <none> 1.1.8-3.6
2020-06-25 08:03:32 status half-installed libpam0g:armhf 1.1.8-3.6
